Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arbitrage Compliance Specialists, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arbitrage Compliance Specialists, Inc.","Arbitrage Compliance Specialists, Inc.",10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arbitration Forums, Inc.",,100 to 499,39,"AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NJ, NM, NY, OH, OR, PA, SC, SD, TN, TX, VA, VT, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ARCA Biopharma, Inc",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arcadis, Inc",,"5,000 to 9,999",141,"AK, AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MT, NC, NJ, NV, NY, OH, OK, OR, PA, PR, RI, SC, TN, TX, VA, VI, WA, WI, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arcata Associates, Inc.",,100 to 499,14,"AL, CA, CO, FL, MD, NV, UT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Architectural Energy Corporation,,20 to 99,4,"CA, CO, IL, TN"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Architectural Engineering Design Group, Inc",AE Design,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ardurra Group, LLC",,20 to 99,9,"CO, CT, FL, LA, MS, NY, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Area9 Lyceum Inc,Area9 Lyceum Inc,10 to 19,22,"AZ, CA, CO, FL, GA, IA, IL, MA, NH, OH, PA, SC, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ARES Corporation,,500 to 999,16,"AL, CA, CO, NH, NM, OH, TN, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Arete Associates,Arete Associates,100 to 499,7,"AZ, CA, CO, FL, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AREVA Federal Services LLC,,100 to 499,13,"CO, ID, KY, MD, NC, NM, NV, OH, SC, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AREVA Inc.,AREVA NP,100 to 499,11,"CA, CO, DC, MA, NC, PA, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ARINC, Incorporated",,"2,500 to 4,999",7,"CA, CO, FL, GA, MD, OK"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arisant, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ARKS TEK INC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Arlans Pro Services,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ARMA Global Corporation,,500 to 999,24,"CA, CO, FL, GA, HI, KY, MS, NC, NM, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Armada Supply Chain Solutions, LLC",,500 to 999,8,"CO, FL, GA, IL, PA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Armstrong Consultants, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Armstrong Teasdale LLP,,100 to 499,7,"CO, MO, NV, NY, PA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Array BioPharma,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Artemis Vision, LLC.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arthur Lawrence Staffing USA, LLC",,20 to 99,35,"AZ, CA, CO, CT, DC, DE, FL, GA, IL, IN, MA, MD, MI, MT, NJ, NY, OH, OK, OR, PA, RI, TN, TX, VA, WA, WI, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arvizu Advertising & Promotions, Inc.",,20 to 99,2,"AZ, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ASB Infotech LLC,ASB Infotech,20 to 99,30,"AZ, CA, CO, CT, DE, FL, GA, IL, IN, KS, MA, MD, MI, MN, NC, NH, NJ, NM, NV, NY, OK, OR, PA, SC, TX, UT, VA, WA, WI, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ascend Analytics, LLC",,20 to 99,4,"CA, CO, MA, MT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ascendance International, LLC",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Ascent Services Group,,500 to 999,6,"CA, CO, IL, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ascentia Imaging, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ASEC Inc,,20 to 99,4,"CA, CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ASK International Incorporated.,,10 to 19,7,"CA, CO, DC, MD, NY, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aspen Event Security,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aspen Resources Limited, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aspen Valley Technology Group,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Assima, Inc",,20 to 99,2,"CO, GA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Assistive Coding, LLC *S9E*",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Associated Tele-Networking Inc,ATNI,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Associated Tele-Networking, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Association of Universities for Research in Astronomy,NOAO/LSST/NSO,100 to 499,7,"AZ, CA, CO, HI, NM"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Association of Universities for Research in Astronomy, Inc",,"1,000 to 2,499",5,"AZ, CO, DC, HI, MD"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Association Voice, LLC",,100 to 499,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Assured Consulting Solutions, LLC",,20 to 99,8,"CO, DC, FL, MD, MO, NC, VA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Assured Title Agency, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ASTRA LLC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ATC Group Services LLC,,"1,000 to 2,499",65,"AL, AZ, CA, CO, CT, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ATC Group Services LLC,,"1,000 to 2,499",99,"AK, AL, AZ, CA, CO, CT, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, NC, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Athey Creek Consultants LLC,,5 to 9,4,"CO, MN, OR, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atiera, LLC",Atiera,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atkins and Associates, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Atkins North America,,"2,500 to 4,999",93,"AL, AR, AZ, CA, CO, FL, GA, KY, LA, MD, MS, MT, NC, NE, NJ, NV, NY, OR, PA, PR, SC, TN, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atkinson-Noland & Associates, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atmospheric Technology Services Company, LLC",,20 to 99,4,"AL, CA, CO, OK"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Atrilogy Solutions Group,Atrilogy Solutions Group,20 to 99,6,"AZ, CA, CO, GA, NV, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atrilogy Solutions Group, Inc",,20 to 99,3,"AZ, CO, GA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atrilogy Solutions Group, Inc.",,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Atwell, LLC",,500 to 999,18,"AZ, CO, GA, IL, KS, MI, OH, PA, TN, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Audio Visual Service Group, LLC.",PSAV,"5,000 to 9,999",2842,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Audio Visual Services Group, Inc.",PSAV Presentation Services,"5,000 to 9,999",655,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Audubon Engineering Company LT,,"1,000 to 2,499",9,"CO, LA, OK, PA, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aunt Bertha, a Public Benefit Corporation",,20 to 99,40,"CA, CO, MD, NC, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aurora EE Group, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aurora Insight Inc.,,10 to 19,2,"CO, DC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aurora North Dental Partners PLLC,Risas Dental & Braces,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aurora South Dental Partners PLLC,Risas Dental and Braces,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aurora Urology PC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Austin Automotive llc,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Auto Profit Masters, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Automotion LLC,Tech-30,5 to 9,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AV-Tech Electronics, Inc",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Avalara, Inc.",,"1,000 to 2,499",8,"CA, CO, KS, NC, TX, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Avanade Inc.,,"1,000 to 2,499",20,"AZ, CA, CO, GA, IL, KS, MA, MN, MO, NC, NV, NY, OH, OR, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Avant Data,,20 to 99,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Avata, Inc.",,20 to 99,3,"CA, CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Avaya, Inc.",,"5,000 to 9,999",84,"AR, AZ, CA, CO, CT, DC, DE, FL, GA, IL, IN, KS, MA, MD, MI, MN, MO, NC, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Avenir Consulting LLC Matthew Cochr,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aventura HQ, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Avery Partners, LLC",,100 to 499,30,"AL, AR, AZ, CA, CO, DC, FL, GA, IL, KS, KY, LA, MD, MI, MN, MO, MS, NC, NJ, NV, NY, OH, OK, PA, SC, TN, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Avidat LLC,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Avout Corporation,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AWR Corporation,,20 to 99,4,"CA, CO, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Axcess Staffing Services LLC,,"10,000 and over",51,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Axcess Staffing Services, LLC",,"10,000 and over",51,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Axelia Partners,,500 to 999,343,"AR, AZ, CA, CO, CT, DC, FL, GA, HI, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NV, NY, OH, OK, OR, PA, SC, TN, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Axion Health, Inc.","Axion Health, Inc.",10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Ayres Associates Inc,,100 to 499,12,"AZ, CO, FL, WI, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Azopharma Product Development Companies,,100 to 499,7,"CO, FL, MO, NJ"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aztek Networks, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",B.G.H. Gas Test Operating Inc.,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Baby Gene Inc,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Backflip Studios LLC,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Backflow Consulting, Testing & Repair Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Background Information Services, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Backpack Health, LLC",,20 to 99,9,"CO, CT, MA, NJ, NY, OR, TN, TX, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Badger Technical Services, LLC",,20 to 99,19,"AL, CA, CO, FL, HI, MN, NC, NV, OR, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BAE Systems Applied Intelligence Ltd,,100 to 499,9,"CO, CT, FL, MA, NC, NY, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bahr Vermeer & Haecker, Architects, Ltd.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Baker & Hostetler LLP (Denver Office),,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bakke Kopp Ballou & McFarlin, Inc.",BKBM Engineers,20 to 99,2,"CO, MN"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BalancePoint Colorado LLC,BalancePoint,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Ballard Spahr LLP,,"1,000 to 2,499",15,"AZ, CA, CO, DC, DE, GA, MD, MN, NJ, NV, NY, PA, SD, UT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bally Gaming, Inc.",,"1,000 to 2,499",19,"CA, CO, GA, IL, MO, MS, NJ, NV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BAMKO,,20 to 99,8,"CA, CO, IL, NY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bang the Table USA LLC,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Banister Corporation,Snelling Staffing Services,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Banko Peteroleum Management Inc.,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bankruptcy Management Solutions, Inc",BMS,20 to 99,19,"AZ, CA, CO, GA, IL, IN, LA, MI, MO, NC, NH, NJ, NV, NY, PA, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BARBER-NICHOLS INC.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Barker Rinker Seacat Architecture,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BARNES GRIGGS & ASSOCIATES, PC",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Barnett Engineering & Signaling Laboratories LLC,,10 to 19,3,"CO, FL, OH"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Barrett Business Services Inc,,"10,000 and over",11,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Barrett Business Services, Inc",BBSI,500 to 999,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bartlett & West Inc,,100 to 499,18,"CO, IA, IL, KS, MO, MT, ND, OK, SD, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bartlett & West, Inc.",,100 to 499,14,"CO, GA, IA, KS, MO, MT, ND, OK, SD, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Baseline Corporation,,10 to 19,2,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Basis Policy Research LLC,,10 to 19,4,"CO, MI, MN, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bates Engineering, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Battelle Memorial Institute,,"2,500 to 4,999",425,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BBSI,BBSI,5 to 9,50,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BCCI home office,,100 to 499,10,"AZ, CO, FL, GA, NC, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BCER Engineering, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BCS, Incorporated",,20 to 99,4,"CO, MD, PA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BDR Fire and Water Restoration, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Beacon Integrated Technologies, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Beam, Longest and Neff, LLC.",,100 to 499,4,"AL, CO, IN, KY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bear Valley Communications, Inc",KNS Communications Consultants,20 to 99,2,"CO, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Beaudin Ganze Consulting Engineers,","Beaudin Ganze Consulting Engineers,",20 to 99,4,"CO, NM"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Beaudrey American Services,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Beaudrey American Services LLC,Beaudrey AS,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Beauty Brands LLC,Beauty Brands,"1,000 to 2,499",59,"AZ, CO, IA, IL, IN, KS, MO, NC, NE, OH, OK, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Beckman Coulter Inc-Cellular Analysis,,"1,000 to 2,499",5,"CO, FL, IN, KY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Behrens and Associates, Inc.",Enviornmental Noise Control,20 to 99,3,"CA, CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Behrent Engineering Company,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BeInventiv,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bella Derma Professional LLC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Belt Collins Hawaii LLC,,20 to 99,2,"CO, HI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Benchmark International, Inc",,20 to 99,7,"CO, FL, GA, NC, RI, UT, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bene-Fit Solutions, LLC",Bene-Fit Solutions,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Berenbaum, Weinshienk & Eason, P.C.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Berg Hill Greenleaf & Ruscitti LLP,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Berg Hill Greenleaf & Ruscitti LLP,,20 to 99,2,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Berkeley Research Group,,20 to 99,26,"AZ, CA, CO, DC, FL, GA, IL, MA, MD, MI, NJ, NY, PA, TX, UT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Berlitz Languages, Inc.",,500 to 999,54,"AZ, CA, CO, CT, FL, GA, IL, IN, MA, MD, MI, MN, MO, NC, NJ, NY, OH, PA, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Best Payroll Services LLC,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Best Practice Systems,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bethesda Associates,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bethesda Foundation,Bethesda Senior Living Communities,500 to 999,22,"AZ, CO, IN, MO, NE, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bethesda Ministries,One Child Matters,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BETSOL, LLC",BETSOL,100 to 499,2,"CO, MO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BFE Acquisitions Sub II LLC,Black Forest Engineering,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BGC Engineering USA Inc.,BGC Engineering Inc.,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BHA Design, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Big Compass, LLC",,10 to 19,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Big Tree, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Biggs, Kofford & CO, PC","BiggsKofford, PC",20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bighorn Consulting Engineers, CO",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bikis Water Consultants, LLC",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Billinda Group LLC,Techpower Engineering Services,20 to 99,33,"CO, MN, OH"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","BIO-Logic, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Bio-Tech Medical Software Inc,,20 to 99,10,"CO, FL, GA, HI, NY, PR, TN, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Biodesix, Inc. (5LX)",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Biohabitats, Inc.",,20 to 99,9,"CO, KY, MD, NC, NJ, NM, OH, OR, SC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Bishop-Brogden Associates, Inc",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",BIT Systems,,100 to 499,4,"CA, CO, FL, VA"
